Region,Total Homes Sold,Adjusted Average Homes Sold,Adjusted Average New Listings,Adjusted Pending Sales
"Springfield, OH metro area",155.35252808988764,27.484550561797754,30.546348314606742,19.133426966292134
"St. Bernard Parish, LA",54.69616788321168,9.43978102189781,10.85492700729927,5.880474452554744
"St. Charles Parish, LA",50.556061987237925,8.70556061987238,9.272561531449407,6.442114858705561
"St. Clair County, AL",144.49203187250995,25.683266932270918,30.583665338645417,14.661354581673306
"St. Clair County, MI",245.11397423191278,43.403369672943505,50.258671952428145,35.44400396432111
"St. Clair County, MO",3.4473684210526314,1.0578947368421052,1.0421052631578946,1.0105263157894737
"St. Cloud, MN metro area",298.7421307506053,52.912832929782084,57.93946731234867,42.303874092009686
"St. Croix County, WI",167.7927601809955,29.500452488687785,32.96470588235294,22.286877828054298
"St. Francis County, AR",8.628056628056628,1.4105534105534105,1.7567567567567568,1.1673101673101673
"St. Francois County, MO",91.26271186440678,15.962335216572505,16.91996233521657,9.923728813559322
"St. George, UT metro area",177.88126649076517,31.572559366754618,36.62137203166227,21.362796833773086
"St. James Parish, LA",8.17997293640054,1.4587280108254397,1.604871447902571,1.1921515561569689
"St. John the Baptist Parish, LA",35.28158844765343,6.025270758122744,6.362815884476534,3.6696750902527078
"St. Johns County, FL",955.9863636363636,170.2068181818182,192.84772727272727,119.83863636363637
"St. Joseph County, IN",247.84354838709677,44.153225806451616,48.09193548387097,30.061290322580646
"St. Joseph County, MI",82.58823529411765,14.409049773755656,16.03891402714932,11.329411764705883
"St. Joseph, MO metro area",138.62272727272727,24.503030303030304,29.272727272727273,16.10909090909091
"St. Landry Parish, LA",45.98684210526316,7.918421052631579,10.551315789473684,3.3552631578947367
"St. Lawrence County, NY",57.279797979797976,9.777777777777779,11.54949494949495,4.107070707070707
"St. Louis County, MN",121.93855606758832,21.566820276497698,23.387096774193548,11.290322580645162
"St. Lucie County, FL",871.5785854616896,155.06090373280944,184.57760314341846,106.06974459724951
"St. Martin Parish, LA",28.982583454281567,4.886792452830188,6.346879535558781,2.258345428156749
"St. Mary Parish, LA",12.513002364066194,1.958628841607565,2.479905437352246,1.3900709219858156
"St. Mary's County, MD",203.98937426210153,36.086186540731994,40.706021251475796,27.145218417945692
"St. Marys, GA metro area",114.57971014492753,20.264090177133657,23.22222222222222,11.357487922705314
"St. Marys, PA metro area",3.0272727272727273,1.1363636363636365,1.0636363636363637,1.1545454545454545
"St. Tammany Parish, LA",484.7805582290664,85.99615014436958,94.76708373435996,58.26756496631376
"Stafford County, KS",3.9030612244897958,1.0637755102040816,1.1326530612244898,1.0841836734693877
"Stafford County, VA",314.2674094707521,55.98189415041783,64.44150417827298,46.34679665738162
"Stanislaus County, CA",571.0524886877828,101.24162895927601,114.78371040723982,87.73846153846154
"Stanley County, SD",3.971875,1.0625,1.175,1.0
"Stanly County, NC",81.93251533742331,14.414110429447852,16.00920245398773,8.440184049079754
"Stanton County, KS",1.5348837209302326,1.0465116279069768,1.0,1.0
"Stanton County, NE",6.704918032786885,1.2192622950819672,1.2581967213114753,1.098360655737705
"Stark County, IL",6.934865900383142,1.1954022988505748,1.2547892720306513,1.0900383141762453
"Stark County, ND",36.0,5.857740585774058,5.379358437935844,1.620641562064156
"Stark County, OH",463.938704028021,83.24693520140104,98.82486865148861,64.9492119089317
"Starke County, IN",32.17951318458418,5.4127789046653145,6.204868154158215,3.462474645030426
"Starkville, MS metro area",1.1944444444444444,1.0,1.2777777777777777,1.0
"Starr County, TX",6.873362445414847,1.2925764192139737,2.1331877729257642,1.0982532751091703
"State College, PA metro area",166.13891951488424,29.292171995589857,32.535832414553475,19.647188533627343
"Statesboro, GA metro area",101.95988112927192,18.01931649331352,20.918276374442794,9.609212481426448
"Staunton, VA",47.752747252747255,8.258241758241759,8.648351648351648,5.263736263736264
"Staunton, VA metro area",189.35900473933648,33.507109004739334,35.687203791469194,21.830568720379148
"Ste. Genevieve County, MO",18.842504743833018,3.0227703984819736,3.4686907020872866,1.808349146110057
"Steamboat Springs, CO metro area",100.85135135135135,17.964527027027028,21.31418918918919,11.554054054054054
"Stearns County, MN",226.2760180995475,39.87782805429864,43.5185520361991,31.937556561085973
"Steele County, MN",53.69960988296489,9.302990897269181,9.657997399219767,7.4603381014304295
"Steele County, ND",2.4427480916030535,1.0916030534351144,1.1526717557251909,1.0229007633587786
"Stephens County, GA",35.780715396578536,6.074650077760498,7.458786936236392,3.71850699844479
"Stephens County, OK",38.069204152249135,7.041522491349481,7.581314878892734,4.328719723183391
"Stephens County, TX",11.291666666666666,1.7952898550724639,2.0833333333333335,1.3677536231884058
"Stephenson County, IL",49.949445129469794,8.617755856966708,9.732429099876695,5.824907521578298
"Stephenville, TX metro area",48.7811080835604,8.43262903964539,10.359269711517667,6.136564937304525
"Sterling County, TX",1.4352941176470588,1.0,1.1647058823529413,1.0
"Sterling, CO metro area",30.52687038988409,5.135932560590095,5.642781875658588,3.9799789251844047
"Sterling, IL metro area",39.576043068640644,6.674293405114401,7.2745625841184385,3.939434724091521
"Steuben County, IN",51.54945054945055,9.067765567765568,8.587912087912088,5.26007326007326
"Steuben County, NY",94.0326530612245,16.522448979591836,18.527891156462584,6.272108843537415
